trial,joint,gain,t1_s,t2_s,alpha,servo_dt_s,start_deg,end_deg,reset_max_ref_err_deg,samples,commands,profile_csv,command_csv,last_command_time_s,final_settle_time_s,final_settle_dt_from_last_cmd_s,final_ref_deg,max_ref_deg,min_ref_deg,crossing_time_s,crossing_interval_start_s,crossing_interval_end_s,crossing_interval_start_deg,crossing_interval_end_deg,crossing_dt_from_last_cmd_s
1,1,0.2,0.01,0.1,0.2,0.005,0.0,90.0,0.0,635,1001,trial_001_gain_0p2_t2_0p1_alpha_0p2_profile.csv,trial_001_gain_0p2_t2_0p1_alpha_0p2_commands.csv,5.3006625710986555,,,92.64002227783203,92.64002227783203,0.0,5.4072718097377015,5.3999514961615205,5.4100247791502625,89.8150634765625,90.06954956054688,0.10660923863904603
2,1,0.2,0.01,0.1,0.5,0.005,0.0,90.0,0.0,635,1001,trial_002_gain_0p2_t2_0p1_alpha_0p5_profile.csv,trial_002_gain_0p2_t2_0p1_alpha_0p5_commands.csv,5.30072471103631,,,92.58863830566406,92.58863830566406,0.0,5.358843811044179,5.349798036040738,5.35978402197361,89.76797485351562,90.02411651611328,0.05811910000786913
3,1,0.2,0.01,0.1,1.0,0.005,0.0,90.0,0.0,635,1001,trial_003_gain_0p2_t2_0p1_alpha_1_profile.csv,trial_003_gain_0p2_t2_0p1_alpha_1_commands.csv,5.300647663185373,,,92.7057876586914,92.7057876586914,0.0,5.340748274091286,5.338981176028028,5.349037147127092,89.95020294189453,90.23358154296875,0.040100610905913214
4,1,0.2,0.01,0.2,0.2,0.005,0.0,90.0,0.0,645,1001,trial_004_gain_0p2_t2_0p2_alpha_0p2_profile.csv,trial_004_gain_0p2_t2_0p2_alpha_0p2_commands.csv,5.300505105871707,,,95.5944595336914,95.5944595336914,0.0,5.408798374417349,5.399711286881939,5.409781428985298,89.7751693725586,90.02432250976562,0.10829326854564147
5,1,0.2,0.01,0.2,0.5,0.005,0.0,90.0,0.0,645,1001,trial_005_gain_0p2_t2_0p2_alpha_0p5_profile.csv,trial_005_gain_0p2_t2_0p2_alpha_0p5_commands.csv,5.300627395045012,,,95.59912872314453,95.59912872314453,0.0,5.3573602985300735,5.348220130195841,5.358397155068815,89.76918029785156,90.02618408203125,0.056732903485061215
6,1,0.2,0.01,0.2,1.0,0.005,0.0,90.0,0.0,645,1001,trial_006_gain_0p2_t2_0p2_alpha_1_profile.csv,trial_006_gain_0p2_t2_0p2_alpha_1_commands.csv,5.300674051977694,,,95.07977294921875,95.07977294921875,0.0,5.341863838832302,5.339671139838174,5.349742735968903,89.94513702392578,90.19713592529297,0.04118978685460828
7,1,0.5,0.01,0.1,0.2,0.005,0.0,90.0,0.0,635,1001,trial_007_gain_0p5_t2_0p1_alpha_0p2_profile.csv,trial_007_gain_0p5_t2_0p1_alpha_0p2_commands.csv,5.300715123070404,,,92.56981658935547,92.56981658935547,0.0,5.402798701762667,5.399468294112012,5.409559899941087,89.92279815673828,90.15673065185547,0.10208357869226337
8,1,0.5,0.01,0.1,0.5,0.005,0.0,90.0,0.0,634,1001,trial_008_gain_0p5_t2_0p1_alpha_0p5_profile.csv,trial_008_gain_0p5_t2_0p1_alpha_0p5_commands.csv,5.300737943965942,,,92.62577819824219,92.62577819824219,0.0,5.350000537769993,5.339923203922808,5.350017176009715,89.75971221923828,90.00039672851562,0.04926259380405096
9,1,0.5,0.01,0.1,1.0,0.005,0.0,90.0,0.0,636,1001,trial_009_gain_0p5_t2_0p1_alpha_1_profile.csv,trial_009_gain_0p5_t2_0p1_alpha_1_commands.csv,5.30080475192517,,,92.33162689208984,92.33162689208984,0.0,5.332819757543825,5.329974596854299,5.340122608002275,89.93600463867188,90.16426086425781,0.032015005618654335
10,1,0.5,0.01,0.2,0.2,0.005,0.0,90.0,0.0,645,1001,trial_010_gain_0p5_t2_0p2_alpha_0p2_profile.csv,trial_010_gain_0p5_t2_0p2_alpha_0p2_commands.csv,5.300675279926509,,,95.27128601074219,95.27128601074219,0.0,5.401387881076094,5.401151336962357,5.411322733853012,89.99451446533203,90.23039245605469,0.10071260114958491
11,1,0.5,0.01,0.2,0.5,0.005,0.0,90.0,0.0,646,1001,trial_011_gain_0p5_t2_0p2_alpha_0p5_profile.csv,trial_011_gain_0p5_t2_0p2_alpha_0p5_commands.csv,5.300348374992609,,,94.87101745605469,94.87101745605469,0.0,5.35085187702844,5.342069851001725,5.352125064004213,89.80560302734375,90.02818298339844,0.05050350203583065
12,1,0.5,0.01,0.2,1.0,0.005,0.0,90.0,0.0,645,1001,trial_012_gain_0p5_t2_0p2_alpha_1_profile.csv,trial_012_gain_0p5_t2_0p2_alpha_1_commands.csv,5.30081893899478,,,95.81156921386719,95.81156921386719,0.0,5.331849144173035,5.329908462008461,5.340001462958753,89.9490737915039,90.21392822265625,0.031030205178255166
13,1,1.0,0.01,0.1,0.2,0.005,0.0,90.0,0.0,635,1001,trial_013_gain_1_t2_0p1_alpha_0p2_profile.csv,trial_013_gain_1_t2_0p1_alpha_0p2_commands.csv,5.300660043023527,,,91.58753204345703,91.58753204345703,0.0,5.4187280650224965,5.4102612980641425,5.42036951915361,89.8615951538086,90.0268325805664,0.11806802199896982
14,1,1.0,0.01,0.1,0.5,0.005,0.0,90.0,0.0,635,1001,trial_014_gain_1_t2_0p1_alpha_0p5_profile.csv,trial_014_gain_1_t2_0p1_alpha_0p5_commands.csv,5.300646170042455,,,91.8899917602539,91.8899917602539,0.0,5.35059061283365,5.349361184053123,5.359402935020626,89.97681427001953,90.16619110107422,0.04994444279119481
15,1,1.0,0.01,0.1,1.0,0.005,0.0,90.0,0.0,636,1001,trial_015_gain_1_t2_0p1_alpha_1_profile.csv,trial_015_gain_1_t2_0p1_alpha_1_commands.csv,5.300361138070002,,,91.8899917602539,91.8899917602539,0.0,5.332006137066832,5.330321764107794,5.340447110123932,89.96839141845703,90.15840148925781,0.031644998996830154
16,1,1.0,0.01,0.2,0.2,0.005,0.0,90.0,0.0,646,1001,trial_016_gain_1_t2_0p2_alpha_0p2_profile.csv,trial_016_gain_1_t2_0p2_alpha_0p2_commands.csv,5.3004138469696045,,,93.75831604003906,93.75831604003906,0.0,5.411261166310641,5.4108709439169616,5.420958067988977,89.99284362792969,90.1778335571289,0.11084731934103687
17,1,1.0,0.01,0.2,0.5,0.005,0.0,90.0,0.0,646,1001,trial_017_gain_1_t2_0p2_alpha_0p5_profile.csv,trial_017_gain_1_t2_0p2_alpha_0p5_commands.csv,5.300385331036523,,,93.85713195800781,93.85713195800781,0.0,5.35240507008517,5.349190908949822,5.359323064098135,89.94005584716797,90.12902069091797,0.05201973904864676
18,1,1.0,0.01,0.2,1.0,0.005,0.0,90.0,0.0,645,1001,trial_018_gain_1_t2_0p2_alpha_1_profile.csv,trial_018_gain_1_t2_0p2_alpha_1_commands.csv,5.30071477801539,,,93.85713195800781,93.85713195800781,0.0,5.332550268857908,5.328884568065405,5.338923942996189,89.9307632446289,90.1203842163086,0.0318354908425178
