t_s,joint,jnt_ref_deg,angle_change_deg,last_sent_cmd_deg
0.010564591037109494,1,0.0,0.0,0.0
0.020874836947768927,1,0.0,0.0,0.0
0.030734953936189413,1,0.0,0.0,0.0
0.040801187977194786,1,0.0,0.0,0.0
0.0509295470546931,1,0.0,0.0,0.0
0.06109445611946285,1,0.0,0.0,0.0
0.07118580304086208,1,0.0,0.0,0.0
0.0813197810202837,1,0.0,0.0,0.0
0.0915410709567368,1,0.0,0.0,0.0
0.10162108507938683,1,0.0,0.0,0.0
0.11162278312258422,1,0.0,0.0,0.0
0.12171952403150499,1,0.0,0.0,0.0
0.13177901110611856,1,0.0,0.0,0.0
0.14190666610375047,1,0.0,0.0,0.0
0.1520422869361937,1,0.0,0.0,0.0
0.16212102212011814,1,0.0,0.0,0.0
0.17209654999896884,1,0.0,0.0,0.0
0.18221782008185983,1,0.0,0.0,0.0
0.1922534869518131,1,0.0,0.0,0.0
0.20240502594970167,1,0.0,0.0,0.0
0.21243453305214643,1,0.0,0.0,0.0
0.22246891702525318,1,0.0,0.0,0.0
0.23254295508377254,1,0.0,0.0,0.0
0.24268757505342364,1,0.0,0.0,0.0
0.25275247311219573,1,0.0,0.0,0.0
0.26287207705900073,1,0.0,0.0,0.0
0.2730003041215241,1,0.0,0.0,0.0
0.2831067710649222,1,0.0,0.0,0.0
0.2932326761074364,1,0.0,0.0,0.0
0.30333051504567266,1,0.0,0.0,0.0
0.3134000371210277,1,0.0,0.0,0.18
0.32345746201463044,1,0.0,0.0,0.36
0.3336056631524116,1,0.006660000421106815,0.006660000421106815,0.54
0.34366243495605886,1,0.09695890545845032,0.09695890545845032,0.72
0.3537986990995705,1,0.2929958701133728,0.2929958701133728,0.9
0.3639388361480087,1,0.5090304017066956,0.5090304017066956,1.08
0.37408602493815124,1,0.7056822776794434,0.7056822776794434,1.26
0.384086939971894,1,0.8997045755386353,0.8997045755386353,1.44
0.39415624109096825,1,1.090851068496704,1.090851068496704,1.6199999999999999
0.40431160293519497,1,1.3146668672561646,1.3146668672561646,1.8
0.4143074559979141,1,1.4988683462142944,1.4988683462142944,1.98
0.4244418970774859,1,1.6729060411453247,1.6729060411453247,2.16
0.434513928135857,1,1.856058120727539,1.856058120727539,2.34
0.4445947790518403,1,2.0312466621398926,2.0312466621398926,2.52
0.4546584840863943,1,2.215078115463257,2.215078115463257,2.6999999999999997
0.46479944000020623,1,2.389112710952759,2.389112710952759,2.88
0.47480080206878483,1,2.5613749027252197,2.5613749027252197,3.06
0.48487336304970086,1,2.736131429672241,2.736131429672241,3.2399999999999998
0.4949516640044749,1,2.9129271507263184,2.9129271507263184,3.42
0.5050104991532862,1,3.091017961502075,3.091017961502075,3.6
0.5151920551434159,1,3.269887685775757,3.269887685775757,3.7800000000000002
0.5252873559948057,1,3.4492199420928955,3.4492199420928955,3.96
0.5353242130950093,1,3.6288254261016846,3.6288254261016846,4.14
0.5455005089752376,1,3.8085925579071045,3.8085925579071045,4.41
0.5556311730761081,1,3.988455057144165,3.988455057144165,4.59
0.5657336791045964,1,4.168374061584473,4.168374061584473,4.77
0.5757955741137266,1,4.348325729370117,4.348325729370117,4.95
0.5859220649581403,1,4.528297424316406,4.528297424316406,5.13
0.5959945200011134,1,4.70828104019165,4.70828104019165,5.31
0.6060206030961126,1,4.888270854949951,4.888270854949951,5.49
0.6161743730772287,1,5.068264961242676,5.068264961242676,5.67
0.6261812150478363,1,5.24826192855835,5.24826192855835,5.8500000000000005
0.6363024120219052,1,5.42825984954834,5.42825984954834,6.03
0.646592915058136,1,5.644389629364014,5.644389629364014,6.210000000000001
0.6567269840743393,1,5.816166400909424,5.816166400909424,6.39
0.6667824650648981,1,5.997983455657959,5.997983455657959,6.569999999999999
0.6768028030637652,1,6.1723833084106445,6.1723833084106445,6.75
0.6869621430523694,1,6.354793071746826,6.354793071746826,6.93
0.6970157800242305,1,6.538665771484375,6.538665771484375,7.11
0.7070958151016384,1,6.7127861976623535,6.7127861976623535,7.29
0.7171649760566652,1,6.895987510681152,6.895987510681152,7.470000000000001
0.7273545321077108,1,7.071204662322998,7.071204662322998,7.65
0.7374098880682141,1,7.255053520202637,7.255053520202637,7.829999999999999
0.7475626871455461,1,7.429098129272461,7.429098129272461,8.01
0.7576117510907352,1,7.6013665199279785,7.6013665199279785,8.19
0.7676731760147959,1,7.776126384735107,7.776126384735107,8.37
0.7777246010955423,1,7.9529242515563965,7.9529242515563965,8.55
0.7879047240130603,1,8.13101577758789,8.13101577758789,8.73
0.7979198021348566,1,8.309886932373047,8.309886932373047,8.91
0.8081093020737171,1,8.489219665527344,8.489219665527344,9.09
0.8182081060949713,1,8.668825149536133,8.668825149536133,9.27
0.8282365610357374,1,8.848592758178711,8.848592758178711,9.45
0.838305827928707,1,9.028454780578613,9.028454780578613,9.629999999999999
0.848503532120958,1,9.2083740234375,9.2083740234375,9.81
0.8584709819406271,1,9.388325691223145,9.388325691223145,9.99
0.8685345849953592,1,9.568297386169434,9.568297386169434,10.17
0.8786590551026165,1,9.74828052520752,9.74828052520752,10.35
0.8887557559646666,1,9.928271293640137,9.928271293640137,10.530000000000001
0.8988869269378483,1,10.108264923095703,10.108264923095703,10.709999999999999
0.9090320370160043,1,10.337737083435059,10.337737083435059,10.89
0.9190977280959487,1,10.543673515319824,10.543673515319824,11.07
0.9291576829273254,1,10.743435859680176,10.743435859680176,11.25
0.9391751650255173,1,10.93581771850586,10.93581771850586,11.43
0.949338031001389,1,11.123634338378906,11.123634338378906,11.61
0.9593187430873513,1,11.29981517791748,11.29981517791748,11.790000000000001
0.9694543001241982,1,11.4832763671875,11.4832763671875,11.97
0.9795876499265432,1,11.667293548583984,11.667293548583984,12.15
0.9896716689690948,1,11.849980354309082,11.849980354309082,12.330000000000002
0.9998260019347072,1,12.03200626373291,12.03200626373291,12.510000000000002
1.009932486107573,1,12.204758644104004,12.204758644104004,12.69
1.0199825519230217,1,12.387151718139648,12.387151718139648,12.87
1.030108624137938,1,12.56033706665039,12.56033706665039,13.049999999999999
1.0401818689424545,1,12.732097625732422,12.732097625732422,13.229999999999999
1.0501659750007093,1,12.9065580368042,12.9065580368042,13.41
1.0602995951194316,1,13.083179473876953,13.083179473876953,13.59
1.0705142880324274,1,13.2611665725708,13.2611665725708,13.86
1.0805453720968217,1,13.43997573852539,13.43997573852539,14.04
1.090680261142552,1,13.619272232055664,13.619272232055664,14.22
1.1007911369670182,1,13.798855781555176,13.798855781555176,14.4
1.1109348740428686,1,13.97861099243164,13.97861099243164,14.58
1.1210189890116453,1,14.158465385437012,14.158465385437012,14.76
1.1311089261434972,1,14.338379859924316,14.338379859924316,14.940000000000001
1.1411663249600679,1,14.518329620361328,14.518329620361328,15.120000000000001
1.1511593230534345,1,14.698299407958984,14.698299407958984,15.3
1.161321226041764,1,14.87828254699707,14.87828254699707,15.479999999999999
1.1715966891497374,1,15.094016075134277,15.094016075134277,15.659999999999998
1.1816667059902102,1,15.27401065826416,15.27401065826416,15.84
1.191786068957299,1,15.454007148742676,15.454007148742676,16.02
1.2017748199868947,1,15.634005546569824,15.634005546569824,16.2
1.2119111011270434,1,15.814004898071289,15.814004898071289,16.38
1.2219749439973384,1,15.994004249572754,15.994004249572754,16.56
1.232042334973812,1,16.17400360107422,16.17400360107422,16.74
1.2421875449363142,1,16.354001998901367,16.354001998901367,16.92
1.2523255541455,1,16.53400230407715,16.53400230407715,17.1
1.2624448100104928,1,16.714387893676758,16.714387893676758,17.28
1.2725916269700974,1,16.886165618896484,16.886165618896484,17.46
1.2826662079896778,1,17.067983627319336,17.067983627319336,17.64
1.2927571590989828,1,17.24238395690918,17.24238395690918,17.82
1.3027470200322568,1,17.425748825073242,17.425748825073242,18.0
1.3128727860748768,1,17.59950828552246,17.59950828552246,18.18
1.3229416359681636,1,17.771608352661133,17.771608352661133,18.36
1.3330857129767537,1,17.946269989013672,17.946269989013672,18.54
1.3431704030372202,1,18.123937606811523,18.123937606811523,18.72
1.3533309979829937,1,18.314023971557617,18.314023971557617,18.9
1.3633771929889917,1,18.492584228515625,18.492584228515625,19.08
1.3735732990317047,1,18.702402114868164,18.702402114868164,19.259999999999998
1.383594905026257,1,18.879051208496094,18.879051208496094,19.44
1.3937092339619994,1,19.056997299194336,19.056997299194336,19.62
1.4037125271279365,1,19.23577308654785,19.23577308654785,19.8
1.413825429044664,1,19.415048599243164,19.415048599243164,19.98
1.423989504110068,1,19.594619750976562,19.594619750976562,20.16
1.4340320259798318,1,19.77436637878418,19.77436637878418,20.34
1.4440972721204162,1,19.9542179107666,19.9542179107666,20.52
1.4542534770444036,1,20.134130477905273,20.134130477905273,20.7
1.4643841129727662,1,20.314077377319336,20.314077377319336,20.880000000000003
1.474444431019947,1,20.494047164916992,20.494047164916992,21.060000000000002
1.484438616083935,1,20.674028396606445,20.674028396606445,21.24
1.4945029870141298,1,20.867748260498047,20.867748260498047,21.419999999999998
1.504576422041282,1,21.073678970336914,21.073678970336914,21.599999999999998
1.5147422840818763,1,21.274032592773438,21.274032592773438,21.78
1.524808102985844,1,21.458240509033203,21.458240509033203,21.96
1.534937750082463,1,21.646442413330078,21.646442413330078,22.14
1.5450075510889292,1,21.8337345123291,21.8337345123291,22.32
1.5550837120972574,1,22.00987434387207,22.00987434387207,22.5
1.5652313560713083,1,22.19426727294922,22.19426727294922,22.68
1.5753218170721084,1,22.370189666748047,22.370189666748047,22.86
1.5855356729589403,1,22.554454803466797,22.554454803466797,23.13
1.5956149480771273,1,22.728744506835938,22.728744506835938,23.310000000000002
1.6057505309581757,1,22.90115737915039,22.90115737915039,23.490000000000002
1.6158069791272283,1,23.07600212097168,23.07600212097168,23.67
1.625944056082517,1,23.252851486206055,23.252851486206055,23.85
1.6361726131290197,1,23.466447830200195,23.466447830200195,24.03
1.6462340410798788,1,23.64544677734375,23.64544677734375,24.21
1.6563012979459018,1,23.82485580444336,23.82485580444336,24.39
1.666394439060241,1,24.004507064819336,24.004507064819336,24.57
1.676466187927872,1,24.18429946899414,24.18429946899414,24.750000000000004
1.686524701071903,1,24.364177703857422,24.364177703857422,24.930000000000003
1.6965923509560525,1,24.544105529785156,24.544105529785156,25.110000000000003
1.7066601100377738,1,24.724063873291016,24.724063873291016,25.290000000000003
1.7167202611453831,1,24.90403938293457,24.90403938293457,25.47
1.7268762490712106,1,25.08402442932129,25.08402442932129,25.65
1.736945719923824,1,25.264015197753906,25.264015197753906,25.83
1.747040000045672,1,25.44400978088379,25.44400978088379,26.009999999999998
1.7570990910753608,1,25.624006271362305,25.624006271362305,26.189999999999998
1.76715839211829,1,25.804004669189453,25.804004669189453,26.369999999999997
1.7772345731500536,1,25.984004974365234,25.984004974365234,26.549999999999997
1.7874301059637219,1,26.16438865661621,26.16438865661621,26.73
1.79747532797046,1,26.336166381835938,26.336166381835938,26.91
1.807604247936979,1,26.517982482910156,26.517982482910156,27.09
1.8177401721477509,1,26.6923828125,26.6923828125,27.27
1.8277982799336314,1,26.875749588012695,26.875749588012695,27.45
1.8378672529943287,1,27.049509048461914,27.049509048461914,27.63
1.8478972960729152,1,27.22263526916504,27.22263526916504,27.81
1.8579678270034492,1,27.409290313720703,27.409290313720703,27.99
1.8680960109923035,1,27.587249755859375,27.587249755859375,28.17
1.878168846014887,1,27.77271842956543,27.77271842956543,28.35
1.888302005128935,1,27.985517501831055,27.985517501831055,28.53
1.898352628108114,1,28.16956329345703,28.16956329345703,28.71
1.9084888910874724,1,28.34255027770996,28.34255027770996,28.89
1.9185310220345855,1,28.515506744384766,28.515506744384766,29.07
1.9285843109246343,1,28.69088363647461,28.69088363647461,29.25
1.9386563871521503,1,28.868080139160156,28.868080139160156,29.43
1.9487956890370697,1,29.04641342163086,29.04641342163086,29.610000000000003
1.9588165120221674,1,29.225425720214844,29.225425720214844,29.790000000000003
1.96893973601982,1,29.404844284057617,29.404844284057617,29.970000000000002
1.9790921970270574,1,29.58449935913086,29.58449935913086,30.150000000000002
1.9891705210320652,1,29.76429557800293,29.76429557800293,30.330000000000002
1.9993746720720083,1,29.944175720214844,29.944175720214844,30.51
2.00940357404761,1,30.12410545349121,30.12410545349121,30.69
2.0195382740348577,1,30.30406379699707,30.30406379699707,30.87
2.0295502389781177,1,30.484039306640625,30.484039306640625,31.049999999999997
2.0396758220158517,1,30.664024353027344,30.664024353027344,31.229999999999997
2.049733622930944,1,30.84401512145996,30.84401512145996,31.409999999999997
2.059875068021938,1,31.024009704589844,31.024009704589844,31.589999999999996
2.0700927800498903,1,31.20400619506836,31.20400619506836,31.77
2.0801856010220945,1,31.384004592895508,31.384004592895508,31.95
2.090290762949735,1,31.564390182495117,31.564390182495117,32.129999999999995
2.10038755601272,1,31.73616600036621,31.73616600036621,32.4
2.1105046500451863,1,31.917984008789062,31.917984008789062,32.58
2.120590014150366,1,32.1292610168457,32.1292610168457,32.76
2.1306325220502913,1,32.329288482666016,32.329288482666016,32.94
2.1407265791203827,1,32.539161682128906,32.539161682128906,33.12
2.1508317899424583,1,32.732295989990234,32.732295989990234,33.3
2.1608684700913727,1,32.92584991455078,32.92584991455078,33.48
2.170897803036496,1,33.108055114746094,33.108055114746094,33.66
2.180976032046601,1,33.2951545715332,33.2951545715332,33.84
2.191039284924045,1,33.469947814941406,33.469947814941406,34.02
2.201093669049442,1,33.64397048950195,33.64397048950195,34.2
2.211164561100304,1,33.819976806640625,33.819976806640625,34.38
2.221237241057679,1,33.99754333496094,33.99754333496094,34.56
2.231306017143652,1,34.17609786987305,34.17609786987305,34.74
2.2414032339584082,1,34.35523986816406,34.35523986816406,34.92
2.251521324040368,1,34.534732818603516,34.534732818603516,35.1
2.2616785070858896,1,34.71443557739258,34.71443557739258,35.28
2.2716665221378207,1,34.894256591796875,34.894256591796875,35.46
2.2818003490101546,1,35.074153900146484,35.074153900146484,35.64
2.2918815230950713,1,35.25408935546875,35.25408935546875,35.82
2.3018576849717647,1,35.43405532836914,35.43405532836914,36.0
2.311945836059749,1,35.61403274536133,35.61403274536133,36.18
2.3220207809936255,1,35.79402160644531,35.79402160644531,36.36
2.3321559310425073,1,35.97401428222656,35.97401428222656,36.54
2.3422535681165755,1,36.15401077270508,36.15401077270508,36.72
2.352302409010008,1,36.334007263183594,36.334007263183594,36.9
2.362376470118761,1,36.51400375366211,36.51400375366211,37.08
2.372513175010681,1,36.69400405883789,36.69400405883789,37.26
2.3826588101219386,1,36.87400436401367,36.87400436401367,37.44
2.392710311105475,1,37.05400085449219,37.05400085449219,37.62
2.40281821298413,1,37.2343864440918,37.2343864440918,37.8
2.4128222670406103,1,37.44171905517578,37.44171905517578,37.98
2.4229606420267373,1,37.62322235107422,37.62322235107422,38.16
2.4330173910129815,1,37.79831314086914,37.79831314086914,38.339999999999996
2.4431033469736576,1,37.98154067993164,37.98154067993164,38.519999999999996
2.453191675944254,1,38.16383743286133,38.16383743286133,38.7
2.4633249030448496,1,38.33867645263672,38.33867645263672,38.88
2.4733902860898525,1,38.52143096923828,38.52143096923828,39.06
2.4834489210043103,1,38.69365310668945,38.69365310668945,39.24
2.493585945107043,1,38.86615753173828,38.86615753173828,39.42
2.503888153936714,1,39.0412712097168,39.0412712097168,39.6
2.513945466140285,1,39.21830749511719,39.21830749511719,39.78
2.5239673100877553,1,39.39654541015625,39.39654541015625,39.96
2.5340492341201752,1,39.575504302978516,39.575504302978516,40.14
2.544105275068432,1,39.75489044189453,39.75489044189453,40.32
2.5542496039997786,1,39.93452453613281,39.93452453613281,40.5
2.5643215170130134,1,40.11431121826172,40.11431121826172,40.68
2.5743946919683367,1,40.294185638427734,40.294185638427734,40.86
2.5845295779872686,1,40.4741096496582,40.4741096496582,41.04
2.5945384760852903,1,40.65406799316406,40.65406799316406,41.22
2.604656544048339,1,40.834041595458984,40.834041595458984,41.4
2.6148097971454263,1,41.0140266418457,41.0140266418457,41.580000000000005
2.6248960259836167,1,41.19401550292969,41.19401550292969,41.760000000000005
2.6349467830732465,1,41.3740119934082,41.3740119934082,41.940000000000005
2.6450271441135556,1,41.55400848388672,41.55400848388672,42.120000000000005
2.655161164002493,1,41.734004974365234,41.734004974365234,42.3
2.6652359599247575,1,41.95003128051758,41.95003128051758,42.48
2.6753172259777784,1,42.13003158569336,42.13003158569336,42.66
2.6854277229867876,1,42.308990478515625,42.308990478515625,42.93
2.6955166440457106,1,42.481719970703125,42.481719970703125,43.11
2.705566145014018,1,42.663551330566406,42.663551330566406,43.29
2.7156410000752658,1,42.84595489501953,42.84595489501953,43.47
2.7256733989343047,1,43.027584075927734,43.027584075927734,43.65
2.7357798719312996,1,43.207542419433594,43.207542419433594,43.83
2.7458846089430153,1,43.38180923461914,43.38180923461914,44.01
2.7559251999482512,1,43.57964324951172,43.57964324951172,44.19
2.7660149780567735,1,43.77915573120117,43.77915573120117,44.37
2.77607831498608,1,43.98163986206055,43.98163986206055,44.55
2.786250699078664,1,44.16606140136719,44.16606140136719,44.73
2.7964246459305286,1,44.34577178955078,44.34577178955078,44.91
2.8063989661168307,1,44.5251350402832,44.5251350402832,45.09
2.8164492750074714,1,44.70468521118164,44.70468521118164,45.27
2.826520174043253,1,44.88440704345703,44.88440704345703,45.45
2.83660644502379,1,45.06424331665039,45.06424331665039,45.63
2.8467290711123496,1,45.244144439697266,45.244144439697266,45.81
2.8567882671486586,1,45.42408752441406,45.42408752441406,45.99
2.8669547070749104,1,45.60405349731445,45.60405349731445,46.17
2.8771053601522,1,45.784034729003906,45.784034729003906,46.35
2.8871612639632076,1,45.964019775390625,45.964019775390625,46.53
2.897177319973707,1,46.144012451171875,46.144012451171875,46.71
2.9073728299699724,1,46.32400894165039,46.32400894165039,46.89
2.9174445951357484,1,46.504005432128906,46.504005432128906,47.07
2.9275829771067947,1,46.72003173828125,46.72003173828125,47.25
2.93767475313507,1,46.90003204345703,46.90003204345703,47.43
2.9477319889701903,1,47.08003234863281,47.08003234863281,47.61
2.9577803849242628,1,47.260032653808594,47.260032653808594,47.79
2.967892876127735,1,47.440032958984375,47.440032958984375,47.970000000000006
2.9779653321020305,1,47.620033264160156,47.620033264160156,48.150000000000006
2.987999228062108,1,47.80003356933594,47.80003356933594,48.330000000000005
2.9980967701412737,1,47.9789924621582,47.9789924621582,48.510000000000005
3.008226549020037,1,48.15171813964844,48.15171813964844,48.690000000000005
3.018319266149774,1,48.33322525024414,48.33322525024414,48.870000000000005
3.028374922927469,1,48.5083122253418,48.5083122253418,49.050000000000004
3.0385103330481797,1,48.69121170043945,48.69121170043945,49.230000000000004
3.048593092011288,1,48.863525390625,48.863525390625,49.410000000000004
3.0587606180924922,1,49.03904342651367,49.03904342651367,49.59
3.068799725966528,1,49.22540283203125,49.22540283203125,49.77
3.078853301005438,1,49.40369415283203,49.40369415283203,49.95
3.0889373179525137,1,49.58848571777344,49.58848571777344,50.13
3.0991023019887507,1,49.76191329956055,49.76191329956055,50.31
3.109164087101817,1,49.93513107299805,49.93513107299805,50.49
3.1193062579259276,1,50.11066436767578,50.11066436767578,50.669999999999995
3.1294965411070734,1,50.28794860839844,50.28794860839844,50.849999999999994
3.139606434153393,1,50.46633529663086,50.46633529663086,51.029999999999994
3.1496587300207466,1,50.645381927490234,50.645381927490234,51.209999999999994
3.159745386103168,1,50.82481384277344,50.82481384277344,51.38999999999999
3.16982874693349,1,51.00448226928711,51.00448226928711,51.56999999999999
3.1798981679603457,1,51.22028732299805,51.22028732299805,51.74999999999999
3.190012725070119,1,51.40018081665039,51.40018081665039,51.92999999999999
